| Name        | Version   | License                              | Author          | URL                                         | Description                                                            |
|-------------|-----------|--------------------------------------|-----------------|---------------------------------------------|------------------------------------------------------------------------|
| PyYAML      | 6.0       | MIT License                          | Kirill Simonov  | https://pyyaml.org/                         | YAML parser and emitter for Python                                     |
| Send2Trash  | 1.8.0     | BSD License                          | Andrew Senetar  | https://github.com/arsenetar/send2trash     | Send file to trash natively under Mac OS X, Windows and Linux.         |
| certifi     | 2022.6.15 | Mozilla Public License 2.0 (MPL 2.0) | Kenneth Reitz   | https://github.com/certifi/python-certifi   | Python package for providing Mozilla's CA Bundle.                      |
| click       | 8.1.3     | BSD License                          | Armin Ronacher  | https://palletsprojects.com/p/click/        | Composable command line interface toolkit                              |
| dulwich     | 0.20.35   | Apache Software License              | Jelmer Vernooij | https://www.dulwich.io/                     | Python Git Library                                                     |
| giturlparse | 0.10.0    | Apache Software License              | Aaron O Mullan  | https://github.com/nephila/giturlparse      | A Git URL parsing module (supports parsing and rewriting)              |
| py-setenv   | 1.1.0     | MIT License                          | Maksim Beliaev  | https://github.com/beliaev-maksim/py_setenv | CLI App to manage window environment variables                         |
| urllib3     | 1.26.10   | MIT License                          | Andrey Petrov   | https://urllib3.readthedocs.io/             | HTTP library with thread-safe connection pooling, file post, and more. |
